sim_times,ecc_algorithm,file_name,bytes_per_oligo,address_size,ecc_param,miss_extension_prob,deletion_prob,over_extension_prob,molcule_num,reaction_cycle
100,r,1k_data,16,4,10,0.0,0.01,0.0,10,3
100,r,1k_data,16,4,10,0.0,0.02,0.0,10,3
100,r,1k_data,16,4,10,0.0,0.05,0.0,10,3
100,r,1k_data,16,4,10,0.0,0.1,0.0,10,3
100,r,1k_data,16,4,10,0.0,0.2,0.0,10,3
100,r,1k_data,16,4,10,0.0,0.5,0.0,10,3
100,r,1k_data,16,4,10,0.0,0.01,0.0,20,3
100,r,1k_data,16,4,10,0.0,0.02,0.0,20,3
100,r,1k_data,16,4,10,0.0,0.05,0.0,20,3
100,r,1k_data,16,4,10,0.0,0.1,0.0,20,3
100,r,1k_data,16,4,10,0.0,0.2,0.0,20,3
100,r,1k_data,16,4,10,0.0,0.5,0.0,20,3
100,r,1k_data,16,4,10,0.0,0.01,0.0,50,3
100,r,1k_data,16,4,10,0.0,0.02,0.0,50,3
100,r,1k_data,16,4,10,0.0,0.05,0.0,50,3
100,r,1k_data,16,4,10,0.0,0.1,0.0,50,3
100,r,1k_data,16,4,10,0.0,0.2,0.0,50,3
100,r,1k_data,16,4,10,0.0,0.5,0.0,50,3
100,r,1k_data,16,4,10,0.0,0.0,0.02,1,3
100,r,1k_data,16,4,10,0.0,0.0,0.05,1,3
100,r,1k_data,16,4,10,0.0,0.0,0.1,1,3
100,r,1k_data,16,4,10,0.0,0.0,0.2,1,3
100,r,1k_data,16,4,10,0.0,0.0,0.5,1,3
100,r,1k_data,16,4,10,0.0,0.0,0.01,10,3
100,r,1k_data,16,4,10,0.0,0.0,0.02,10,3
100,r,1k_data,16,4,10,0.0,0.0,0.05,10,3
100,r,1k_data,16,4,10,0.0,0.0,0.1,10,3
100,r,1k_data,16,4,10,0.0,0.0,0.2,10,3
100,r,1k_data,16,4,10,0.0,0.0,0.5,10,3
100,r,1k_data,16,4,10,0.0,0.0,0.01,20,3
100,r,1k_data,16,4,10,0.0,0.0,0.02,20,3
100,r,1k_data,16,4,10,0.0,0.0,0.05,20,3
100,r,1k_data,16,4,10,0.0,0.0,0.1,20,3
100,r,1k_data,16,4,10,0.0,0.0,0.2,20,3
100,r,1k_data,16,4,10,0.0,0.0,0.5,20,3
100,r,1k_data,16,4,10,0.0,0.0,0.01,50,3
100,r,1k_data,16,4,10,0.0,0.0,0.02,50,3
100,r,1k_data,16,4,10,0.0,0.0,0.05,50,3
100,r,1k_data,16,4,10,0.0,0.0,0.1,50,3
100,r,1k_data,16,4,10,0.0,0.0,0.2,50,3
100,r,1k_data,16,4,10,0.0,0.0,0.2,50,3
100,r,1k_data,16,4,10,0.0,0.0,0.5,50,3
